Date,OG/CV,Product,Size,Volume?,Price,Location,Concat,Date2,volume_num,volume_unit,volume_standard,VendorClean,ProductClean
1/16/2025,0,Yellow Squash,Fancy,3P,20.95,Nogales,45673Yellow SquashFancy,191.0,3,pallet,pallet,Malena,Yellow Squash
1/16/2025,0,Yellow Squash,Fancy,12p,$20.95 ,Nogales,45673Yellow SquashFancy,191.0,12,pallet,pallet,Lakeway,Yellow Squash
1/16/2025,0,Yellow Bell Pepper 11lb,XL,26P,$14.00 ,Nogales,45673Yellow Bell Pepper 11lbXL,191.0,26,pallet,pallet,Fresh Farms,Yellow Bell Peppers XXXL
1/16/2025,0,Yellow Bell Pepper 11lb,XL,216cs,$15.00 ,Nogales,45673Yellow Bell Pepper 11lbXL,191.0,216,case,case,Doozland,Yellow Bell Peppers XXXL
1/16/2025,0,Yellow Bell Pepper 11lb,Lg,9P,$12.00 ,Nogales,45673Yellow Bell Pepper 11lbLg,191.0,9,pallet,pallet,Fresh Farms,Yellow Bell Peppers XXXL
1/16/2025,0,Watermelons,45ct,2 Loads,$245.00 ,Nogales,45673Watermelons45ct,191.0,2,load,load,Giumarra,Watermelon Seed
1/16/2025,0,Watermelons,36ct,21 Bins,$245.00 ,Nogales,45673Watermelons36ct,191.0,21,bin,bin,Giumarra,Watermelon Seed
1/16/2025,0,TOV,4 - 5,1200cs,$14.00 ,Texas,45673TOV4 - 5,191.0,1200,case,case,Huron,TOV
1/16/2025,1,Slicer Cucumber,SS,8p,$12.00 ,Nogales,45673Slicer CucumberSS,191.0,8,pallet,pallet,Agriferg,Slicer Cucumber
1/16/2025,1,Slicer Cucumber,Plain,2p,$6.95 ,Nogales,45673Slicer CucumberPlain,191.0,2,pallet,pallet,Agriferg,Slicer Cucumber
1/16/2025,1,Slicer Cucumber,Lg,3p,$8.95 ,Nogales,45673Slicer CucumberLg,191.0,3,pallet,pallet,Agriferg,Slicer Cucumber
1/16/2025,0,Roma Tomato,XL,10P,$11.00 ,Texas,45673Roma TomatoXL,191.0,10,pallet,pallet,Kaliroy,Roma Tomato- XL
1/16/2025,1,Roma Tomato,XL,5P,$20.95 ,Nogales,45673Roma TomatoXL,191.0,5,pallet,pallet,Bridges,Roma Tomato- XL
1/16/2025,0,Roma Tomato,XL,10P,$11.00 ,Nogales,45673Roma TomatoXL,191.0,10,pallet,pallet,Kaliroy,Roma Tomato- XL
1/16/2025,1,Roma Tomato,Med,5P,$14.95 ,Nogales,45673Roma TomatoMed,191.0,5,pallet,pallet,Bridges,Roma Tomato- XL
1/16/2025,1,Roma Tomato,Lg,5P,$18.94 ,Nogales,45673Roma TomatoLg,191.0,5,pallet,pallet,Bridges,Roma Tomato- XL
1/16/2025,0,Roma Tomato,Jbo,10P,$11.00 ,Texas,45673Roma TomatoJbo,191.0,10,pallet,pallet,Kaliroy,Roma Tomato- XL
1/16/2025,1,Roma Tomato,Jbo,5P,$16.95 ,Nogales,45673Roma TomatoJbo,191.0,5,pallet,pallet,Bridges,Roma Tomato- XL
1/16/2025,0,Roma Tomato,Jbo,20P,$9.95 ,Nogales,45673Roma TomatoJbo,191.0,20,pallet,pallet,HM ,Roma Tomato- XL
1/16/2025,0,Roma Tomato,Jbo,20P,$9.95 ,Nogales,45673Roma TomatoJbo,191.0,20,pallet,pallet,HM ,Roma Tomato- XL
1/16/2025,0,Roma Tomato,Jbo,10P,$11.00 ,Nogales,45673Roma TomatoJbo,191.0,10,pallet,pallet,Kaliroy,Roma Tomato- XL
1/16/2025,0,Red Bell Pepper 11lb,XL,10P,$11.95 ,Nogales,45673Red Bell Pepper 11lbXL,191.0,10,pallet,pallet,Trufresh,Red Bell Pepper 11lb
1/16/2025,0,Red Bell Pepper 11lb,XL,306cs,$14.95 ,Texas,45673Red Bell Pepper 11lbXL,191.0,306,case,case,Kingdom,Red Bell Pepper 11lb
1/16/2025,0,Red Bell Pepper 11lb,Lg,14P,$11.00 ,Nogales,45673Red Bell Pepper 11lbLg,191.0,14,pallet,pallet,Fresh Farms,Red Bell Pepper 11lb
1/16/2025,0,Red Bell Pepper 11lb,Lg,634cs,$14.95 ,Texas,45673Red Bell Pepper 11lbLg,191.0,634,case,case,Kingdom,Red Bell Pepper 11lb
1/16/2025,1,Persian Cucumber,Xfancy,5p,$6.00 ,Nogales,45673Persian CucumberXfancy,191.0,5,pallet,pallet,Agriferg,Persian Cucumber Choice
1/16/2025,1,Persian Cucumber,Med,5p,$10.95 ,Nogales,45673Persian CucumberMed,191.0,5,pallet,pallet,Agriferg,Persian Cucumber Choice
1/16/2025,1,Persian Cucumber,Fancy,6p,$14.95 ,Nogales,45673Persian CucumberFancy,191.0,6,pallet,pallet,Agriferg,Persian Cucumber Choice
1/16/2025,0,Orange Bell Pepper 11lb,XL,2p,$16.95 ,Nogales,45673Orange Bell Pepper 11lbXL,191.0,2,pallet,pallet,Agriferg,Orange Bell Peppers XXLG
1/16/2025,0,Orange Bell Pepper 11lb,XL,5p,$18.95 ,Nogales,45673Orange Bell Pepper 11lbXL,191.0,5,pallet,pallet,Malena,Orange Bell Peppers XXLG
1/16/2025,0,Orange Bell Pepper 11lb,Med,5p,$14.00 ,Nogales,45673Orange Bell Pepper 11lbMed,191.0,5,pallet,pallet,Malena,Orange Bell Peppers XXLG
1/16/2025,0,Orange Bell Pepper 11lb,Lg,5p,$14.95 ,Nogales,45673Orange Bell Pepper 11lbLg,191.0,5,pallet,pallet,Malena,Orange Bell Peppers XXLG
1/16/2025,0,Orange Bell Pepper 11lb,Jbo,5p,$18.95 ,Nogales,45673Orange Bell Pepper 11lbJbo,191.0,5,pallet,pallet,Malena,Orange Bell Peppers XXLG
1/16/2025,0,Mini Sweets,Bulk,10P,$20.00 ,Nogales,45673Mini SweetsBulk,191.0,10,pallet,pallet,Franks,Mini Sweets
1/16/2025,0,Mini Sweets,12X1,10P,$12.00 ,Nogales,45673Mini Sweets12X1,191.0,10,pallet,pallet,Franks,Mini Sweets
1/16/2025,1,Mini Sweets,12X1,5p,$16.95 ,Nogales,45673Mini Sweets12X1,191.0,5,pallet,pallet,Franks,Mini Sweets
1/16/2025,0,Medley Tomato,10oz,1680cs,$9.00 ,Texas,45673Medley Tomato10oz,191.0,1680,case,case,Red Sun,Medley Tomatoes
1/16/2025,0,Jalapeño,35#,5p,$10.00 ,Nogales,45673Jalapeño35#,191.0,5,pallet,pallet,Agrivera,Jalapeño
1/16/2025,0,Heirloom,10 lb,10P,$12.95 ,Nogales,45673Heirloom10 lb,191.0,10,pallet,pallet,Santa Sweets,Heirloom
1/16/2025,1,Heirloom,10 lb,10P,$18.95 ,Nogales,45673Heirloom10 lb,191.0,10,pallet,pallet,Santa Sweets,Heirloom
1/16/2025,0,Heirloom Tomato,10 lb,300cs,$16.00 ,Texas,45673Heirloom Tomato10 lb,191.0,300,case,case,Huron,Heirloom Tomato
1/16/2025,0,Green Bell Pepper,XL,1344cs,$12.00 ,Nogales,45673Green Bell PepperXL,191.0,1344,case,case,ASL PRODUCE,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Small,1176cs,$6.00 ,Nogales,45673Green Bell PepperSmall,191.0,1176,case,case,ASL PRODUCE,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Lg,896cs,$10.00 ,Nogales,45673Green Bell PepperLg,191.0,896,case,case,ASL PRODUCE,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,4P,$6.95 ,Nogales,45673Green Bell PepperJbo,191.0,4,pallet,pallet,Agriferg,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,4P,$7.95 ,Nogales,45673Green Bell PepperJbo,191.0,4,pallet,pallet,Agriferg,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,4P,$8.95 ,Nogales,45673Green Bell PepperJbo,191.0,4,pallet,pallet,Agriferg,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,4P,$9.95 ,Nogales,45673Green Bell PepperJbo,191.0,4,pallet,pallet,Agriferg,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,4P,$10.95 ,Nogales,45673Green Bell PepperJbo,191.0,4,pallet,pallet,Agriferg,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,Jbo,1624cs,$10.00 ,Nogales,45673Green Bell PepperJbo,191.0,1624,case,case,ASL PRODUCE,Green Bell Pepper
1/16/2025,0,Green Bell Pepper,CH,1200cs,$8.00 ,Texas,45673Green Bell PepperCH,191.0,1200,case,case,Lakeway,Green Bell Pepper
1/16/2025,0,Grape,Bulk,20P,$10.20 ,Texas,45673GrapeBulk,191.0,20,pallet,pallet,Kaliroy,Grape
1/16/2025,1,Grape,12X1,10P,$10.95 ,Texas,45673Grape12X1,191.0,10,pallet,pallet,Franks,Grape
1/16/2025,0,Grape,12X1,1200cs,$8.00 ,Texas,45673Grape12X1,191.0,1200,case,case,Red Sun,Grape
1/16/2025,0,Grape Tomato,Bulk,20P,$10.20 ,Nogales,45673Grape TomatoBulk,191.0,20,pallet,pallet,Kaliroy,Grape Tomato
1/16/2025,0,Grape Tomato,12X1,10P,$5.95 ,Nogales,45673Grape Tomato12X1,191.0,10,pallet,pallet,Malena,Grape Tomato
1/16/2025,0,European Cucumber,Small,10p,$4.00 ,Texas,45673European CucumberSmall,191.0,10,pallet,pallet,Huron,Euro Cucumber
1/16/2025,0,Eggplant,24ct,6P,$9.95 ,Texas,45673Eggplant24ct,191.0,6,pallet,pallet,Lakeway,Eggplant
1/16/2025,0,Cocktail Tomato,1Lb,1540cs,$8.00 ,Texas,45673Cocktail Tomato1Lb,191.0,1540,case,case,Red Sun,Cocktails Tomato
1/17/2025,0,Yellow Squash,Fancy,12p,$18.95 ,Nogales,45674Yellow SquashFancy,190.0,12,pallet,pallet,Lakeway,Yellow Squash
1/17/2025,0,Yellow Bell Pepper 11lb,XL,3P,$14.95 ,Nogales,45674Yellow Bell Pepper 11lbXL,190.0,3,pallet,pallet,Divine,Yellow Bell Peppers XXXL
1/17/2025,0,Yellow Bell Pepper 11lb,XL,210cs,$12.50 ,Texas,45674Yellow Bell Pepper 11lbXL,190.0,210,case,case,"Produce Team, LLC.",Yellow Bell Peppers XXXL
1/17/2025,1,Yellow Bell Pepper 11lb,XL,4P,$15.95 ,Texas,45674Yellow Bell Pepper 11lbXL,190.0,4,pallet,pallet,Franks,Yellow Bell Peppers XXXL
1/17/2025,0,Yellow Bell Pepper 11lb,Lg,3P,$12.95 ,Nogales,45674Yellow Bell Pepper 11lbLg,190.0,3,pallet,pallet,Divine,Yellow Bell Peppers XXXL
1/17/2025,0,Yellow Bell Pepper 11lb,Jbo,521cs,$12.50 ,Texas,45674Yellow Bell Pepper 11lbJbo,190.0,521,case,case,"Produce Team, LLC.",Yellow Bell Peppers XXXL
1/17/2025,1,Yellow Bell Pepper 11lb,Jbo,4P,$15.95 ,Texas,45674Yellow Bell Pepper 11lbJbo,190.0,4,pallet,pallet,Franks,Yellow Bell Peppers XXXL
1/17/2025,0,TOV,4 - 5,1200cs,$14.00 ,Texas,45674TOV4 - 5,190.0,1200,case,case,Huron,TOV
1/17/2025,1,Strawberries,,10P,$31.95 ,Nogales,45674Strawberries,190.0,10,pallet,pallet,"Grower Alliance, LLC",Strawberry
1/17/2025,0,Slicer Cucumber,SS,10p,$14.95 ,Nogales,45674Slicer CucumberSS,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,Selecto,7p,$8.95 ,Nogales,45674Slicer CucumberSelecto,190.0,7,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,Selecto,10p,$10.95 ,Nogales,45674Slicer CucumberSelecto,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,Plain,10p,$6.95 ,Nogales,45674Slicer CucumberPlain,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,Lg,5p,$13.95 ,Nogales,45674Slicer CucumberLg,190.0,5,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,Lg,10p,$12.95 ,Nogales,45674Slicer CucumberLg,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,1,Slicer Cucumber,42's,15p,$7.00 ,Nogales,45674Slicer Cucumber42's,190.0,15,pallet,pallet,Giumarra,Slicer Cucumber
1/17/2025,1,Slicer Cucumber,36's,15p,$9.00 ,Nogales,45674Slicer Cucumber36's,190.0,15,pallet,pallet,Giumarra,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,36's,10p,$7.95 ,Nogales,45674Slicer Cucumber36's,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,1,Slicer Cucumber,30's,15p,$7.00 ,Nogales,45674Slicer Cucumber30's,190.0,15,pallet,pallet,Giumarra,Slicer Cucumber
1/17/2025,0,Slicer Cucumber,24,10p,$5.95 ,Nogales,45674Slicer Cucumber24,190.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/17/2025,1,Roma Tomato,XL,10P,$19.50 ,Nogales,45674Roma TomatoXL,190.0,10,pallet,pallet,"Grower Alliance, LLC",Roma Tomato- XL
1/17/2025,1,Roma Tomato,Lg,10P,$16.95 ,Nogales,45674Roma TomatoLg,190.0,10,pallet,pallet,"Grower Alliance, LLC",Roma Tomato- XL
1/17/2025,1,Roma Tomato,Jbo,5P,$19.50 ,Nogales,45674Roma TomatoJbo,190.0,5,pallet,pallet,"Grower Alliance, LLC",Roma Tomato- XL
1/17/2025,0,Red Bell Pepper 25lb,CH,3P,$20.95 ,Nogales,45674Red Bell Pepper 25lbCH,190.0,3,pallet,pallet,Divine,Red Bell Pepper 25lb
1/17/2025,0,Red Bell Pepper 25lb,CH,3P,$18.95 ,Nogales,45674Red Bell Pepper 25lbCH,190.0,3,pallet,pallet,Divine,Red Bell Pepper 25lb
1/17/2025,0,Red Bell Pepper 11lb,XL,3P,$16.95 ,Nogales,45674Red Bell Pepper 11lbXL,190.0,3,pallet,pallet,Divine,Red Bell Pepper 11lb
1/17/2025,0,Red Bell Pepper 11lb,XL,233cs,$12.00 ,Texas,45674Red Bell Pepper 11lbXL,190.0,233,case,case,"Produce Team, LLC.",Red Bell Pepper 11lb
1/17/2025,1,Red Bell Pepper 11lb,XL,6P,$15.95 ,Texas,45674Red Bell Pepper 11lbXL,190.0,6,pallet,pallet,Franks,Red Bell Pepper 11lb
1/17/2025,0,Red Bell Pepper 11lb,Med,3P,$10.95 ,Nogales,45674Red Bell Pepper 11lbMed,190.0,3,pallet,pallet,Divine,Red Bell Pepper 11lb
1/17/2025,0,Red Bell Pepper 11lb,Lg,3P,$15.95 ,Nogales,45674Red Bell Pepper 11lbLg,190.0,3,pallet,pallet,Divine,Red Bell Pepper 11lb
1/17/2025,1,Red Bell Pepper 11lb,Lg,3P,$15.95 ,Texas,45674Red Bell Pepper 11lbLg,190.0,3,pallet,pallet,Franks,Red Bell Pepper 11lb
1/17/2025,0,Red Bell Pepper 11lb,Jbo,100cs,$12.00 ,Texas,45674Red Bell Pepper 11lbJbo,190.0,100,case,case,"Produce Team, LLC.",Red Bell Pepper 11lb
1/17/2025,1,Red Bell Pepper 11lb,Jbo,4P,$15.95 ,Texas,45674Red Bell Pepper 11lbJbo,190.0,4,pallet,pallet,Franks,Red Bell Pepper 11lb
1/17/2025,0,Persian Lime,230ct,10P,$34.00 ,Texas,45674Persian Lime230ct,190.0,10,pallet,pallet,Peakopia LLC,Persian Limes
1/17/2025,0,Persian Lime,200ct,10P,$34.00 ,Texas,45674Persian Lime200ct,190.0,10,pallet,pallet,Peakopia LLC,Persian Limes
1/17/2025,0,Persian Lime,175ct,10P,$34.00 ,Texas,45674Persian Lime175ct,190.0,10,pallet,pallet,Peakopia LLC,Persian Limes
1/17/2025,0,Persian Lime,150ct,10P,$30.00 ,Texas,45674Persian Lime150ct,190.0,10,pallet,pallet,Peakopia LLC,Persian Limes
1/17/2025,0,Persian Lime,110ct,10P,$30.00 ,Texas,45674Persian Lime110ct,190.0,10,pallet,pallet,Peakopia LLC,Persian Limes
1/17/2025,0,Orange Bell Pepper 11lb,XL,3P,$16.95 ,Nogales,45674Orange Bell Pepper 11lbXL,190.0,3,pallet,pallet,Divine,Orange Bell Peppers XXLG
1/17/2025,1,Orange Bell Pepper 11lb,XL,4P,$18.95 ,Texas,45674Orange Bell Pepper 11lbXL,190.0,4,pallet,pallet,Franks,Orange Bell Peppers XXLG
1/17/2025,0,Orange Bell Pepper 11lb,Med,3P,$11.95 ,Nogales,45674Orange Bell Pepper 11lbMed,190.0,3,pallet,pallet,Divine,Orange Bell Peppers XXLG
1/17/2025,1,Orange Bell Pepper 11lb,Lg,3P,$18.95 ,Texas,45674Orange Bell Pepper 11lbLg,190.0,3,pallet,pallet,Franks,Orange Bell Peppers XXLG
1/17/2025,1,Orange Bell Pepper 11lb,Jbo,2P,$18.95 ,Texas,45674Orange Bell Pepper 11lbJbo,190.0,2,pallet,pallet,Franks,Orange Bell Peppers XXLG
1/17/2025,0,Mini Sweets,12X1,3P,$14.95 ,Nogales,45674Mini Sweets12X1,190.0,3,pallet,pallet,Divine,Mini Sweets
1/17/2025,0,Jalapeño,XL,10P,$8.50 ,Nogales,45674JalapeñoXL,190.0,10,pallet,pallet,Mexfresh,Jalapeño
1/17/2025,0,Honeydew,6ct,5P,$28.00 ,Nogales,45674Honeydew6ct,190.0,5,pallet,pallet,Lakeway,Honeydew
1/17/2025,0,Honeydew,11ct,3P,$10.95 ,Nogales,45674Honeydew11ct,190.0,3,pallet,pallet,"Produce House, LLC.",Honeydew
1/17/2025,1,Heirloom,10 lb,5P,$7.70 ,Nogales,45674Heirloom10 lb,190.0,5,pallet,pallet,Trufresh,Heirloom
1/17/2025,0,Heirloom Tomato,10 lb,400cs,$16.00 ,Texas,45674Heirloom Tomato10 lb,190.0,400,case,case,Huron,Heirloom Tomato
1/17/2025,0,Habanero,,10P,$8.00 ,Nogales,45674Habanero,190.0,10,pallet,pallet,Natural Flavor,Habanero
1/17/2025,0,Green Bell Pepper,XL,3P,$9.95 ,Nogales,45674Green Bell PepperXL,190.0,3,pallet,pallet,Trufresh,Green Bell Pepper
1/17/2025,0,Green Bell Pepper,Med,3P,$5.95 ,Nogales,45674Green Bell PepperMed,190.0,3,pallet,pallet,Trufresh,Green Bell Pepper
1/17/2025,0,Green Bell Pepper,Lg,3P,$7.95 ,Nogales,45674Green Bell PepperLg,190.0,3,pallet,pallet,Trufresh,Green Bell Pepper
1/17/2025,0,Green Bell Pepper,Jbo,3P,$9.95 ,Nogales,45674Green Bell PepperJbo,190.0,3,pallet,pallet,Trufresh,Green Bell Pepper
1/17/2025,0,Green Bell Pepper,CH,3P,$6.95 ,Nogales,45674Green Bell PepperCH,190.0,3,pallet,pallet,Trufresh,Green Bell Pepper
1/17/2025,1,Grape,Bulk,5P,$22.95 ,Texas,45674GrapeBulk,190.0,5,pallet,pallet,Franks,Grape
1/17/2025,1,Grape Tomato,12X1,10P,$10.00 ,Nogales,45674Grape Tomato12X1,190.0,10,pallet,pallet,Franks,Grape Tomato
1/17/2025,0,European Cucumber,,20p,$3.50 ,Nogales,45674European Cucumber,190.0,20,pallet,pallet,TRICAR,Euro Cucumber
1/17/2025,0,Cherry Tomato,Basket 12's,10P,$8.95 ,Nogales,45674Cherry TomatoBasket 12's,190.0,10,pallet,pallet,Santa Sweets,Cherry Tomatoes
1/17/2025,0,Beef Steak Tomato,30ct,10P,$16.95 ,Nogales,45674Beef Steak Tomato30ct,190.0,10,pallet,pallet,Malena,Beef Steak Tomato
1/17/2025,0,Beef Steak Tomato,28ct,10P,$16.95 ,Nogales,45674Beef Steak Tomato28ct,190.0,10,pallet,pallet,Malena,Beef Steak Tomato
1/17/2025,0,Anaheim,,5P,$12.95 ,Nogales,45674Anaheim,190.0,5,pallet,pallet,Amore,Anaheim
1/18/2025,0,Yellow Bell Pepper 25lb,XL,3P,$15.25 ,Texas,45675Yellow Bell Pepper 25lbXL,189.0,3,pallet,pallet,Harvest Best LLC,Yellow Bell Peppers XXXL
1/18/2025,1,Yellow Bell Pepper 11lb,XL,8P,$16.95 ,Nogales,45675Yellow Bell Pepper 11lbXL,189.0,8,pallet,pallet,Franks,Yellow Bell Peppers XXXL
1/18/2025,0,TOV,4 - 5,3680cs,$10.00 ,Texas,45675TOV4 - 5,189.0,3680,case,case,Red Sun,TOV
1/18/2025,1,Roma Tomato,XL,1386cs,$19.50 ,Nogales,45675Roma TomatoXL,189.0,1386,case,case,"Grower Alliance, LLC",Roma Tomato- XL
1/18/2025,1,Roma Tomato,Med,5P,$16.95 ,Nogales,45675Roma TomatoMed,189.0,5,pallet,pallet,"Grower Alliance, LLC",Roma Tomato- XL
1/18/2025,1,Roma Tomato,Lg,1281cs,$16.95 ,Nogales,45675Roma TomatoLg,189.0,1281,case,case,"Grower Alliance, LLC",Roma Tomato- XL
1/18/2025,1,Roma Tomato,Jbo,5P,$19.50 ,Nogales,45675Roma TomatoJbo,189.0,5,pallet,pallet,"Grower Alliance, LLC",Roma Tomato- XL
