VendorClean,VendorMaster_best,score
CARDELA,"Garland, LLC.",0.5714285714285714
Prime Time,Prime Time,1.0
Lipman,"Garland, LLC.",0.46153846153846156
Sweet season,"Sweet Seasons, LLC.",0.96
Sweet Season,"Sweet Seasons, LLC.",0.96
GREENPOINT,"GreenPoint Distributing, LLC.",0.6060606060606061
Huron Produce,Huron Produce,1.0
"Fresh Direct, Inc.","Fresh Direct, Inc.",0.8
Produce Nation,Produce GPO LLC,0.72
MEX FRESH,"Idea Fresh, LLC.",0.7368421052631579
Cac,DACABET LLC,0.4
Healthy Fresh LLC,"Delta Fresh Sales, L.L.C.",0.65
Southern Tomato,Masters Touch,0.5
Grower,"Grower Alliance, LLC",0.5714285714285714
"Divine Flavor, LLC.","Divine Flavor, LLC.",0.8125
Quantum,"Quantum Produce, LLC",0.6363636363636364
Kaliroy ,"Kaliroy Fresh, LLC.",0.7619047619047619
Eartblend,EarthBlend LLC,0.9473684210526315
Next Level,"Next Level Produce, Inc.",0.7142857142857143
Bonanza,"Tom Lange Company, Inc",0.3333333333333333
Wilson,"Wilson Produce, LLC.",0.6
Natalia,Total,0.5
Alamo,"Garland, LLC.",0.5
seeded,"Seeded Produce, LLC.",0.6
Bigchuy,"Big Chuy Distributors & Sons, Inc.",0.42424242424242425
Maya Fresh,"Idea Fresh, LLC.",0.7
Art mex,ART MX LLC,0.9230769230769231
Frutiver,FRUTTO LLC,0.5714285714285714
CH Rivas,C. H. Rivas LLC.,0.9411764705882353
Art MX,ART MX LLC,1.0
Frello,"Frello Fresh, LLC",0.6666666666666666
frello,"Frello Fresh, LLC",0.6666666666666666
Bebofresh,"Frello Fresh, LLC",0.6666666666666666
Premier,Prime Time,0.5882352941176471
Royal Sun,"Royal Sun Produce, LLC.",0.6923076923076923
FreshTex,VFRESH LLC,0.7142857142857143
TerraBella,"Terra Bella Farms, LLC.",0.7407407407407407
Premier P,Prime Time,0.5263157894736842
Art Mex,ART MX LLC,0.9230769230769231
Eagle Eye,"Eagle Eye Produce, Inc.",0.6923076923076923
wholesum,"Wholesum Family Farms, Inc.",0.5517241379310345
ProduceTeam,"Produce Team, LLC.",0.9565217391304348
Chula Brand,"Covilli Brand Organics, Inc.",0.48484848484848486
Art Mx,ART MX LLC,1.0
VegFresh,VFRESH LLC,0.8571428571428571
Lipman ,"Garland, LLC.",0.42857142857142855
Grande Produce,"Andes Produce, LLC.",0.8888888888888888
GlobalMex,Globalmex International Inc.,0.5625
Art mx,ART MX LLC,1.0
Megaproduce,"Mega Produce, LLC.",0.9565217391304348
Premier Produce,Agriferg Produce LLC,0.7741935483870968
Eathblend,EarthBlend LLC,0.9473684210526315
BRIDGES,"Bridges Produce, Inc.",0.6363636363636364
Quantum ,"Quantum Produce, LLC",0.6956521739130435
Sweets Seasons,"Sweet Seasons, LLC.",0.9629629629629629
Bebo Fresh,"Frello Fresh, LLC",0.7272727272727273
Marabella,"Terra Bella Farms, LLC.",0.5384615384615384
TropicPak,Tricar Sales Inc.,0.47619047619047616
Thomas Fresh,"Idea Fresh, LLC.",0.6363636363636364
Royal SUN,"Royal Sun Produce, LLC.",0.6923076923076923
ArtMx,ART MX LLC,0.9090909090909091
EagleEye,"Eagle Eye Produce, Inc.",0.64
Royal sun ,"Royal Sun Produce, LLC.",0.7407407407407407
Veg fresh,VFRESH LLC,0.8
Atardecer Produce,"Amore Produce, LLC.",0.7333333333333333
Kingston Fresh,"Kaliroy Fresh, LLC.",0.6666666666666666
Tropipack,Peakopia LLC,0.47058823529411764
TerraBella ,"Terra Bella Farms, LLC.",0.7857142857142857
Earhtblend,EarthBlend LLC,0.9
Covili ,"Covilli Brand Organics, Inc.",0.4827586206896552
agriferg,Agriferg Produce LLC,0.6666666666666666
Big Chuy,"Big Chuy Distributors & Sons, Inc.",0.47058823529411764
Vef Fresh,VFRESH LLC,0.8
Bebo ,"Bebo Distributing Co., Inc.",0.45454545454545453
Eagle Eye ,"Eagle Eye Produce, Inc.",0.7407407407407407
Mex fresh,"Idea Fresh, LLC.",0.7368421052631579
Star produce,"Stesan Produce, LLC.",0.8461538461538461
Prestige Produce,Perfresh Produce LLC,0.75
Village,VILLAGE FARMS LP,0.6086956521739131
Kingston,RH TRUCKING TRASNPORTATION LLC,0.47058823529411764
Wyco,WYCO Produce,0.5
Sweet Seasonsd,"Sweet Seasons, LLC.",0.9629629629629629
SealdSweet,Santa Sweets,0.6363636363636364
Santis,"Santis Produce, LLC.",0.6
Tendwell,TendWell Farm,0.7619047619047619
TopShelfag,TendWell Farm,0.43478260869565216
Pretige Produce,"Bridges Produce, Inc.",0.8
REDSUN,Red Sun Farms,0.631578947368421
FRANKS,Frank Donio Inc.,0.5882352941176471
"Direct Roots, LLC.","Direct Roots, LLC.",0.8
AGRIFERG,Agriferg Produce LLC,0.6666666666666666
bebo,"Gemco, Inc.",0.4444444444444444
nature Sweet,"NatureSweet, Ltd.",0.9565217391304348
tropipack,Peakopia LLC,0.47058823529411764
cardela ,"Garland, LLC.",0.5333333333333333
Eagle eye ,"Eagle Eye Produce, Inc.",0.7407407407407407
Veggfresh,VFRESH LLC,0.8
naturevsweet,"NatureSweet, Ltd.",0.9565217391304348
cardela,"Garland, LLC.",0.5714285714285714
Nature Fresh,Trufresh,0.7
Global mex,Globalmex International Inc.,0.5454545454545454
kingdom,Kingdom Fresh Farms,0.5384615384615384
Veg Fresg,VFRESH LLC,0.6666666666666666
Kingdom ,Kingdom Fresh Farms,0.5925925925925926
PTC,"PTC Produce, LLC.",0.42857142857142855
RedSun,Red Sun Farms,0.631578947368421
CHULA,C. H. Rivas LLC.,0.42857142857142855
Calavo,"Healthy Avocado, Inc.",0.47619047619047616
CH rivas,C. H. Rivas LLC.,0.9411764705882353
HURON,Huron Produce,0.5555555555555556
Farmer´s,VFRESH LLC,0.5714285714285714
Redsun,Red Sun Farms,0.631578947368421
TerraBellaFarms,"Terra Bella Farms, LLC.",0.9375
Irigoyen,"Irigoyen Farms, Inc.",0.7272727272727273
Traveler Produce LLC,"TripleH Produce, LLC",0.6857142857142857
HARVEST,Harvest Best LLC,0.7368421052631579
FRESHTEX,VFRESH LLC,0.7142857142857143
Naturesweet,"NatureSweet, Ltd.",1.0
Better Produce Inc,"Better Produce, Inc",0.875
Royal sun,"Royal Sun Produce, LLC.",0.6923076923076923
Sweetseasons,"Sweet Seasons, LLC.",0.96
ART MEX,ART MX LLC,0.9230769230769231
DIVINE,"Divine Flavor, LLC.",0.631578947368421
Heritage Farms,"Irigoyen Farms, Inc.",0.7142857142857143
Nature sweet,"NatureSweet, Ltd.",0.9565217391304348
VEGFRESH,VFRESH LLC,0.8571428571428571
WHOLESUM ,"Wholesum Family Farms, Inc.",0.6
Kingdom/ Greenpoint,Kingdom Fresh Farms,0.5263157894736842
SEEDED,"Seeded Produce, LLC.",0.6
BEBO,"Gemco, Inc.",0.4444444444444444
baloianfarms,"Baloian Farms (Baloian Packing Co,Inc)",0.5853658536585366
Full Harvest,"Supreme Harvest, LLC.",0.6666666666666666
Full harvest,"Supreme Harvest, LLC.",0.6666666666666666
Crown jewels,Crown Jewels Produce,0.75
KINGDOM,Kingdom Fresh Farms,0.5384615384615384
DELTA,DACABET LLC,0.5
sweetseasons,"Sweet Seasons, LLC.",0.96
ART MX,ART MX LLC,1.0
Prestige,Prime Time,0.6666666666666666
Perlag,Perlag Imports LLC,0.6
premier produce,Agriferg Produce LLC,0.7741935483870968
STESAN,"Stesan Produce, LLC.",0.6
VPfresh,VFRESH LLC,0.9230769230769231
Harvest Central Inc,Harvest Central Inc,0.8823529411764706
FARMERS,VFRESH LLC,0.6153846153846154
ARTMX,ART MX LLC,0.9090909090909091
CrownJewels,Crown Jewels Produce,0.7096774193548387
TERRABELLA,"Terra Bella Farms, LLC.",0.7407407407407407
Edible Harvest,"Supreme Harvest, LLC.",0.6896551724137931
WHOLESUM,"Wholesum Family Farms, Inc.",0.5517241379310345
TENDWELL,TendWell Farm,0.7619047619047619
BROTHERS BEST,"BJ Brothers Produce, LLC.",0.625
First Choice,First Choice Produce Inc.,0.75
Delta fresh,"Idea Fresh, LLC.",0.8571428571428571
tom Lange,"Tom Lange Company, Inc",0.6923076923076923
Seald Sweet,Santa Sweets,0.6956521739130435
Produceteam,"Produce Team, LLC.",0.9565217391304348
Heritage,C. H. Rivas LLC.,0.47058823529411764
Vpfresh,VFRESH LLC,0.9230769230769231
Growealliance,"Grower Alliance, LLC",0.9285714285714286
CACHE,"Cache Produce, LLC.",0.5555555555555556
SWEETSEASONS,"Sweet Seasons, LLC.",0.96
Farmersbest,Harvest Best LLC,0.6956521739130435
Fort Worth,"Direct Roots, LLC.",0.45454545454545453
MEXFRESH,VFRESH LLC,0.7142857142857143
Western Pacific,"Better Produce, Inc",0.4827586206896552
Creekside,"Creekside Organics, Inc.",0.6666666666666666
TRAVELERS,Tricar Sales Inc.,0.5714285714285714
Crownjewels,Crown Jewels Produce,0.7096774193548387
ERGO,"Ergo Produce, Inc.",0.5
PRODUCETEAM,"Produce Team, LLC.",0.9565217391304348
ASL ,ASL PRODUCE,0.5333333333333333
Eagle eye,"Eagle Eye Produce, Inc.",0.6923076923076923
Majestic,Masters Touch,0.47619047619047616
tendwell,TendWell Farm,0.7619047619047619
TOPLINE,Total,0.5
Mr. Lucky,Mr. Lucky,0.9411764705882353
EAGLE EYE,"Eagle Eye Produce, Inc.",0.6923076923076923
MALENA,"Malena Produce, Inc.",0.6
FARMER´S BEST,Harvest Best LLC,0.72
NEXT LEVEL,"Next Level Produce, Inc.",0.7142857142857143
GIUMARRA,"Garland, LLC.",0.5333333333333333
MAJESTIC,Masters Touch,0.47619047619047616
VPFRESH,VFRESH LLC,0.9230769230769231
Producehouse,"Produce House, LLC.",0.96
NATURESWEET,"NatureSweet, Ltd.",1.0
produceteam,"Produce Team, LLC.",0.9565217391304348
BIGCHUY,"Big Chuy Distributors & Sons, Inc.",0.42424242424242425
AGRIVERA,Rich River,0.5555555555555556
Green life farms,Red Sun Farms,0.6206896551724138
star Produce,"Stesan Produce, LLC.",0.8461538461538461
crown jewels,Crown Jewels Produce,0.75
TABAFRESH,Trufresh,0.7058823529411765
Del Mar Packing LLC,Del Mar Packing LLC,0.8823529411764706
crownjewels,Crown Jewels Produce,0.7096774193548387
FARMERS BEST,Harvest Best LLC,0.75
delta,DACABET LLC,0.5
premier ,Prime Time,0.5555555555555556
TERRBELLA,"Terra Bella Farms, LLC.",0.6923076923076923
WINDSET,Windset Farms,0.7
PRODUCEHOUSE,"Produce House, LLC.",0.96
PREMIER,Prime Time,0.5882352941176471
BALOIAN,"Garland, LLC.",0.5714285714285714
Limonik,Perlag Imports LLC,0.38095238095238093
Bell Flower,"Frello Fresh, LLC",0.5217391304347826
alamo,"Garland, LLC.",0.5
cache,"Cache Produce, LLC.",0.5555555555555556
IDEAL HARBEST,"Idea Fresh, LLC.",0.6956521739130435
CArdela,"Garland, LLC.",0.5714285714285714
GREATLAKES,Great Lakes Greenhouses Inc.,0.6060606060606061
Malena ,"Malena Produce, Inc.",0.6666666666666666
FARMERSBEST,Harvest Best LLC,0.6956521739130435
Idealharbest,"Idea Fresh, LLC.",0.6363636363636364
Kngdom,Kingdom Fresh Farms,0.48
ArtMX,ART MX LLC,0.9090909090909091
Brothers Best P,"BJ Brothers Produce, LLC.",0.5882352941176471
chula,C. H. Rivas LLC.,0.42857142857142855
JAYYOUMANS,"JAS Family Farms Organics, LLC",0.4
IDEALHARBEST,"Idea Fresh, LLC.",0.6363636363636364
TopShelfAg,TendWell Farm,0.43478260869565216
farmerbest,Harvest Best LLC,0.6363636363636364
FARMERBEST,Harvest Best LLC,0.6363636363636364
LAKEWAY,"Lakeway Foods, LLC.",0.7
Edible harvest,"Supreme Harvest, LLC.",0.6896551724137931
SPLENDID,"Splendid By Porvenir, LLC.,",0.5714285714285714
BestDeal,Harvest Central Inc,0.5217391304347826
Delta ,"Idea Fresh, LLC.",0.5
Kinstom,Windset Farms,0.5
WonderFields,"Ganfer Fresh, LLC.",0.5
TOV,Total,0.5
NATUREFRESH,Trufresh,0.7368421052631579
Border melons,Mas Melons,0.6086956521739131
Beckwith Produce,"Better Produce, Inc",0.7333333333333333
"Ciruli Brothers, LLC.","Ciruli Brothers, LLC.",0.8333333333333334
IDEAL harbest,"Idea Fresh, LLC.",0.6956521739130435
Bridges ,"Bridges Produce, Inc.",0.6956521739130435
Gonzalez,Total,0.46153846153846156
BBEO,"Gemco, Inc.",0.4444444444444444
franks,Frank Donio Inc.,0.5882352941176471
Brigdes,"Bridges Produce, Inc.",0.5454545454545454
"Mega Produce, LLC.","Mega Produce, LLC.",0.8
EDIBLE HARVEST,"Supreme Harvest, LLC.",0.6896551724137931
kaliroy,"Kaliroy Fresh, LLC.",0.7
Cardela Produce,"Amore Produce, LLC.",0.7857142857142857
Pennrose,SuperVeg,0.5
DelCabo,DACABET LLC,0.5714285714285714
farmers,VFRESH LLC,0.6153846153846154
CROWNJEWELS,Crown Jewels Produce,0.7096774193548387
WILSON,"Wilson Produce, LLC.",0.6
Don Hugo,Frank Donio Inc.,0.42105263157894735
Tom lange,"Tom Lange Company, Inc",0.6923076923076923
Villar,VILLAGE FARMS LP,0.5454545454545454
PENNROSE,SuperVeg,0.5
Harvest,Harvest Best LLC,0.7368421052631579
KALIROY,"Kaliroy Fresh, LLC.",0.7
RCF,Mr. Lucky,0.36363636363636365
Ivan Big Tree,"Idea Fresh, LLC.",0.43478260869565216
Del Mar,Del Mar Packing LLC,0.6363636363636364
Ciruli ,"Ciruli Brothers, LLC.",0.6363636363636364
Stella Farms,"Terra Bella Farms, LLC.",0.7586206896551724
divine,"Divine Flavor, LLC.",0.631578947368421
NATURE FRESH,Trufresh,0.7
Border melon,Mas Melons,0.5454545454545454
Total Experience,ASL PRODUCE,0.5185185185185185
Ciruli,"Ciruli Brothers, LLC.",0.5714285714285714
"Santis Produce, LLC.","Santis Produce, LLC.",0.8235294117647058
WONDERFIELDS,"Ganfer Fresh, LLC.",0.5
TRISON,Tricar Sales Inc.,0.4444444444444444
Peaktopia,Peakopia LLC,0.9411764705882353
Naturefresh,Trufresh,0.7368421052631579
GBJ,"Fregetables, LLC.",0.2857142857142857
Frank Donio Inc.,Frank Donio Inc.,0.8148148148148148
CH RIVAS,C. H. Rivas LLC.,0.9411764705882353
DIvine,"Divine Flavor, LLC.",0.631578947368421
Altima,ART MX LLC,0.5
GEMCO,"Gemco, Inc.",1.0
Wonderfields,"Ganfer Fresh, LLC.",0.5
Fresh start,Fresh Farms,0.7272727272727273
CROWJEWELS,Crown Jewels Produce,0.6666666666666666
Southern,SuperVeg,0.5
VILLAGE,VILLAGE FARMS LP,0.6086956521739131
stella farms,"Terra Bella Farms, LLC.",0.7586206896551724
Best Deal,Harvest Central Inc,0.5833333333333334
Stella farms,"Terra Bella Farms, LLC.",0.7586206896551724
DELCABO,DACABET LLC,0.5714285714285714
Crrekside,"Creekside Organics, Inc.",0.5925925925925926
Farmer Fresh,"Frello Fresh, LLC",0.75
Vera Fruit,FRUTTO LLC,0.5
Dacabet,DACABET LLC,1.0
topline,Total,0.5
redsun,Red Sun Farms,0.631578947368421
Total Produce Ex,ASL PRODUCE,0.7407407407407407
Greepoint,"GreenPoint Distributing, LLC.",0.5625
Del Cabo,Jacobs Farm Del Cabo,0.5714285714285714
agros,"Agros Produce, LLC.",0.5555555555555556
Nature fresh,Trufresh,0.7
EXPOFRESH,"Proof Fresh, Inc.",0.7
Southern Valley,PARRAS VALLEY,0.5714285714285714
Kingsville,PARRAS VALLEY,0.43478260869565216
tpe,"PTC Produce, LLC.",0.42857142857142855
Coke Farm,"Irigoyen Farms, Inc.",0.6086956521739131
Trison,Tricar Sales Inc.,0.4444444444444444
vegfresh,VFRESH LLC,0.8571428571428571
WONDERFIELD,"Sunripe Certified, LLC.",0.5
Del cabo,Jacobs Farm Del Cabo,0.5714285714285714
Pacific tomato,Prime Time,0.4166666666666667
Harvers Best,Harvest Best LLC,0.9166666666666666
artmx,ART MX LLC,0.9090909090909091
Terrabella GH,"Terra Bella Farms, LLC.",0.7333333333333333
RDESUN,"Producing, Inc.",0.5333333333333333
Sweet Seaons,"Sweet Seasons, LLC.",0.96
JAS Family Farms,"JAS Family Farms Organics, LLC",0.7804878048780488
ISP,"Veggies, Inc",0.4
Total Experience ,ASL PRODUCE,0.5
JAS Family,"JAS Family Farms Organics, LLC",0.5714285714285714
JBJ,"J B J Distributing, Inc.",0.2857142857142857
CIRULI,"Ciruli Brothers, LLC.",0.5714285714285714
PennRose,SuperVeg,0.5
Coopginger,"Producing, Inc.",0.42105263157894735
GLOBALMEX,Globalmex International Inc.,0.5625
CHRIVAS,C. H. Rivas LLC.,0.875
Frank,Frank Donio Inc.,0.625
DOOZEN,Frank Donio Inc.,0.35294117647058826
CIRULLI,"Ciruli Brothers, LLC.",0.5454545454545454
ARTMEX,ART MX LLC,0.8333333333333334
Cabefruit,DACABET LLC,0.625
DEL CABO,Jacobs Farm Del Cabo,0.5714285714285714
Cokefarm,"Irigoyen Farms, Inc.",0.5454545454545454
globalmex,Globalmex International Inc.,0.5625
Lakweay,"Lakeway Foods, LLC.",0.6
DVINE,"Divine Flavor, LLC.",0.5555555555555556
Farm Fresh,IPR Fresh,0.7368421052631579
Jay Youmans,Jaybird Produce,0.46153846153846156
Grower Direct,"Fresh Direct, Inc.",0.72
Greenyard,"Garland, LLC.",0.5
Verafrut,FRUTTO LLC,0.5714285714285714
TopLine,Total,0.5
